遮瑕效果超级好，很亮，很白，很喜欢是我想要的,遮瑕效果|超级好,1
货已经收到！物流很快，快递小哥很热情！还没有用，期待很好用,物流|很热情,0
感觉还可以，洗了脸不会紧绷，去油效果很好，用起来很舒服，泡泡多，味道清香，这个价格很划算,味道|清香,1
做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还吧,精华液|还挺划算的,0
温和程度：很好。清洁效果：不错。控油效果：还行。泡沫丰富度：一般。保湿效果：挺可以,温和程度|还行,0
送给妈妈的，说味道很好闻，我也不太懂，应该不错的,味道|很好闻,1
面膜用了才来评价的，精华液多，用后皮肤滋润。挺好的宝贝，是真品,精华液|多,1
遮暇效果很好，美白效果也不错，就是味道有点太香，如果没有香味就更好了,遮暇效果|不错,0
东西不错，大小也合适。补水效果不错呦,大小|合适,1
**送货很快，第一次购买这个产品，包装很到位，不错的,包装|很快,0
超好用淡淡的香味还送了面膜喜欢的朋友赶快入手吧,香味|淡淡的,1
第二次购买了，补水保湿的效果不错，打算坚持使用，希望脸上皮肤能有所改善,保湿|不错,1
商品实用，性价比高老婆很喜欢,性价比|高,1
包装很高大尚！还没用，但看起来就很好。还送了化妆水，很喜欢,包装|很高大尚,1
双十一很划算，物流也很给力,物流|很给力,1
粉扑好硬。粉液也一般般啦。不过也对的起这个价格。有两个替换装,价格|一般般,0
商品很满意！很喜欢！价格不贵！快递很快,快递|不贵,0
已经用了补水效果不错，没有过敏不适的反应,补水效果|不错,1
快递迅速服务态度好使用效果非常棒，会一直支持的,快递|好,0
都说包装不好，我觉得很好呀！面膜也很好用，比***的好,包装|很好,1
包装好物流快给力,物流|好,0
物流很快，包装不错，第一次使用这个牌子，期待,包装|很快,0
补水效果不错，价格也实惠，做活动还会买,价格|实惠,1
很喜欢用这款面膜，个人比较喜欢这个味道，比较划算,味道|比较喜欢,1
控油效果：很好。清洁效果：很干净。泡沫丰富度：刚刚合适。保湿效果：保湿一整天。温和程度：很好,控油效果|刚刚合适,0
宝贝收到了，非常满意，保湿效果不错，很服帖，下次还会光顾的,保湿效果|不错,1
粉扑好硬。粉液也一般般啦。不过也对的起这个价格。有两个替换装,粉液|一般般,1
清洁能力：洗面奶比以前用的用起来效果也蛮好的，用段时间再说,清洁能力|蛮好的,1
用过一瓶了，又买的，隔离保湿效果好，不干,保湿效果|好,1
有一点淡淡的香味，很好用保湿效果不错,保湿效果|不错,1
好用，一直在用，第一次在**买，包装严实，**物流太棒了，刚好用完，物流快一天到货特别救急,物流|严实,0
很好，就喜欢在**买东西，经常都有优惠活动，今天买，明天就到了，服务杠杠的,服务|杠杠的,1
一直用的这个牌子的，这款洗面奶感觉泡沫有点多，清洁力还行的,泡沫|有点多,1
不敢相信这么便宜的面膜一点不比八块十块的差。面膜纸丝薄服帖我很喜欢，补水用也不会心疼。回回购,面膜纸|服帖,1
货已收到了，物流服务好，质量很好,物流服务|好,1
卸妆效果特好！！棒棒哒！！值得信赖！！五星,卸妆效果|特好,1
产品收到了，**快递公司果然给力，前一天晚上下单，第二天就到了，给快递小哥点赞,快递小哥|点赞,1
很好用噢，比之前买的都好用，味道也不错，用这个牌子化妆品，也选择了这个，不错,味道|不错,1
东西还是不错的，很喜欢！物流速度也快，老板人很好，老板娘也很漂亮，还送了小礼物！有需要还会再来！好评,老板|快,0
用过了，感觉还不错，不油腻，颜色也自然,颜色|自然,1
帮朋友买的价格合算，送货速度很快,价格|很快,0
水分多，速度快挺好的,速度|多,0
卖家送的礼品超级喜欢，面膜二十贴放在里面刚刚好，再也不用担心面膜没地方放了，么么哒,礼品|超级喜欢,1
物流快，一直用的***，好评,物流|快,1
还不错吧，给老妈买的，还送了很多赠品，如果用着好，我也给自己买试试,赠品|很多,1
到货很快，用着很显白，很好,到货|很快,1
快递没话说，非常好，宝贝收到就用了，补水效果很好，买份共收到片，超合算，下次有活动再回购,快递|非常好,0
双十一买的，价钱比平时要低得多，是正品，补水效果还是不错的，用***有几年了,补水效果|还是不错的,1
在手上试了一下，不油腻，很自然，味道很好闻，不知出汗后怎样，用的好后会追评，物流很快，满意,味道|很快,0
皮肤很干，选滋润型，泡沫也多，鼻子两边可以洗干净，不腻也不干,泡沫|多,1
整体描述：包装很紧密，清洁能力：清洁效果好，味道很香,包装|好,0
滋润，不油腻，味道也喜欢,味道|喜欢,1
用了两年这个了！非常喜欢她的味道！保湿效果很好，我很喜欢,保湿效果|非常喜欢,0
不错价格实惠,价格|实惠,1
颜色好看，服务态度很好。物流快速。希望好用，下次再买,物流|好看,0
面膜很不错，补水挺好的，价格也很实惠，还送了三敷眼贴，很好用,价格|挺好的,0
快递小哥很热情，送货速度很快，挺好的,送货速度|很热情,0
外壳好看，还送了两个替换装，好评好评，祝卖家生意兴隆,外壳|好看,1
服务不好还叫我发颗星,服务|不好,1
收到宝贝晚上就用一贴，面膜滋润，精华特别多，我是敏感肌肤还不知道会不会过敏，快递小哥态度很好,精华|特别多,1
个人情况：东西很棒买了两只泡沫挺多的味道有点香推荐入手,味道|有点香,1
送货速度快好好好好好,送货速度|快,1
发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了,活动|特别合算,1
贴合度：很好很满意,贴合度|很满意,1
上次买了一支清洗的很干净，看见有活动又马上囤了两支,清洗|很干净,1
很香，保湿做好不会有卡粉浮粉现象。就是补妆要勤快些。呵呵,浮粉现象|不会有,1
实惠，以前没用过，这次试试，看着袋子很漂亮,袋子|很漂亮,1
很多精华液，面膜纸是薄透的，期待效果，物流速度很快,面膜纸|薄透,1
物流很快还是那个味道，正装一如既往的好送的比之前的少了点，寄保质期也比较近了,保质期|比较近,1
挺好的，买了好久了才记得来评价，价格实惠,价格|实惠,1
双物流比较快，去年买的刚打开有点淡淡的味道。快用完的时候，味道就不一样了，不是很好闻,物流|比较快,1
非常喜欢，物超所值。超赞，物流还常快，商家服务好,物流|常快,1
已经买了好多好多次了，挺好用的。物流超快的,物流|超快,1
到货快，好用，补水隔离效果好，价格实惠，很划算很喜欢,到货|实惠,0
看产品成分选的，面膜也很水不粘稠，价格实惠基础补水护肤很适合，至于修复角质层的效果得等一段时间,护肤|很适合,1
略偏黄的膏体，干皮上脸不觉得油腻，轻微酒精味，防晒效果不错,防晒效果|不错,1
包装有点失望，都不敢用，试试效果还可以,包装|有点失望,1
用了一段时间才来评价，补水效果不错，很滋润不油腻也非常舒服，一天一张脸水水嫩嫩的,补水效果|不错,1
味道淡淡的，水分超足，没有刺激感,水分|淡淡的,0
精华液很多，敷完吸收很快,吸收|很快,1
这是我用过卸妆力最差！！！的卸妆水，洗面奶都比它干净,卸妆力|最差,1
手的图片是原图哦，不过涂了隔离霜，美白效果没话说了，特别好,美白效果|特别好,1
包装很大气用着很服帖，外观也很漂亮,包装|很漂亮,0
物流很快，包装完好，心情美美的。活动价买的，多送了一个替换装,物流|完好,0
挺好用的，很滋润，喜欢。**物流就是快。赞,物流|快,1
不干不紧绷，非常好，物流也快,物流|快,1
持久情况：不怎么挫泥，还好，防晒效果一般，物流多块的,物流|一般,0
宝贝收到了，**物流非常快，包装很好，希望使用效果也好,物流|非常快,1
个人情况：中性皮肤，清洁效果不错，洗后不紧绷,清洁效果|不错,1
很划算，但是现在价格没有原来美好了，呜呜呜，抢到了的，开心，这个效果一直棒棒，也实惠,价格|没有原来美好,1
快递迅速服务态度好使用效果非常棒，会一直支持的,服务态度|迅速,0
速度快，发货快，巨好用，比外面买的便宜得多，一天一帖,速度|快,1
东西还不错！速度很快！买来送人的希望能有礼品袋,速度|很快,1
物流很快，态度很好，面膜颜值很高，还没用不知道好不好,物流|很高,0
收到了，物流很快，面膜还没用，用后评论,物流|很快,1
物流很快，包装得很漂亮，很满意，用起来一点也不起皮用完在回购,包装|很快,0
挺好的，是新款的包装，用着可以,包装|新款,1
控油效果：很好。清洁效果：很干净。泡沫丰富度：刚刚合适。保湿效果：保湿一整天。温和程度：很好,泡沫丰富度|刚刚合适,1
包装完好，快递小哥服务很好，期待用后效果,快递小哥服务|很好,1
颜色好看，服务态度很好。物流快速。希望好用，下次再买,颜色|快速,0
效果不错哦，而且不伤皮肤，不觉得油腻，卖家服务好，性价比不错哦,卖家服务|好,1
宝贝收到了，物流超快，买了两三天就到了，延展性很好，买的紫色，调节肤色，很好用，还会回购的,物流|超快,1
一直信赖这个牌子，效果应该很不错，今晚试试，好用还会继续光顾，物流很给力，收到心情都特别开心,物流|很给力,1
宝贝收到了，物流非常快，宝贝非常喜欢,物流|非常快,1
刚刚收到货，七号下单八号已收货，**物流超快服务到家，听朋友说增品不少，可我目前没收到,增品|没收到,1
还没用，送了面膜，包装还不错，忘记拍照了，物流还蛮快,包装|还蛮快,0
物美价廉，快递给力。味道淡淡的清香。挺好用的，泡沫细腻，不紧绷。趁着活动囤货,快递|淡淡的清香,0
一直用的这个牌子，还不错，物流也很快,物流|很快,1
面膜挺好的，一直喜欢用***的，而且配送速度也很快，给五星好评,配送速度|很快,1
买了霜，洗面奶，气垫，便宜又好用。而且物流也快,物流|快,1
好多赠品，用了下挺自然的，味道也好闻，不错,赠品|好多,1
控油效果：很好。清洁效果：很干净。泡沫丰富度：刚刚合适。保湿效果：保湿一整天。温和程度：很好,温和程度|很好,1
整体描述：包装很紧密，清洁能力：清洁效果好，味道很香,清洁能力|很香,0
质量不怎么样，挤了好多也没什么泡沫，感觉洗不净的样子，很不开森，是我用过洗面奶最垃圾的一次,质量|不怎么样,1
上午买的，下午就到了**快递速度真不是盖的这是买的第一个隔离霜，希望好用吧,快递速度|真不是盖的,1
物流还不错，小哥服务态度好,物流|还不错,1
包装完整没有破损卖家服务态度好有问必答，多次购买还会再来,包装|没有破损,1
刚刚收到货，闻着味不错，晚上试试效果,味|不错,1
假的吧，洗了脸过敏，商家态度极差,商家态度|极差,1
很好，物流也很快，服务态度，很好,物流|很好,0
收到了，第二次购买，**没得说服务就是好，尤其是快递小哥服务态度特别好，给你个赞,服务|特别好,0
商品收到非常不错，尤其是快递小哥非常给力，信任**快递,快递小哥|非常给力,1
个人干湿混合型，上妆比较滋润，相较其他遮瑕，没有那么强，比较轻薄。持久度还是挺ok的,持久度|没有那么强,0
味道好闻，就是，好少啊,味道|好闻,1
一直在用，都是在**上买的！很好，速度很快,速度|很快,1
宝贝到了，包装完整，打开后宝贝也很漂亮，味道也是很不错，满意,味道|完整,0
搞活动买的，块钱片，非常实惠，面膜保湿效果也不错，值得购买,保湿效果|不错,1
补水效果太好啦，**买东西，早上下的单，下午就收到了！必须5星好评呀！现在只喜欢在**买东西啦,补水效果|太好,1
我是混干皮，觉得还不错，遮瑕四星，持久度四星，也挺好上妆的，就是这个色号比我稍微暗一点，我本来就不算白，这个色号有点黑了,色号|稍微暗一点,1
气味很好闻。还有替换装。喜欢粉粉的盒子。这个牌子护肤品不错,盒子|粉粉的,1
物流好快，第一次网上买这款面膜，期待效果,物流|好快,1
个人情况：我是脸比较白的那种，没有感觉到有美白，吸收情况：吸收挺好的，整体描述：淡斑效果没感觉到，已经第三瓶了。，滋润及保湿：保湿还是可以,保湿|没感觉到,0
终于没忍住，买了，味道很好闻，上妆效果很好，值得推荐，如果配点小赠品就更好了,上妆效果|很好闻,0
瓶子很漂亮很喜欢也很好用快递很快态度好,瓶子|很漂亮,1
**快递速度快，昨天下单，今天就到了，面膜与实物相符，效果等用了才知道，不过应该给快递点赞,快递|快,0
粉扑好硬。粉液也一般般啦。不过也对的起这个价格。有两个替换装,粉扑|一般般,0
发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了,活动|很好,0
不错哦。速度很快，。以后就买****的了,速度|很快,1
很好用，价格便宜，实惠款,价格|便宜,1
精华很少，不到十分钟就干巴巴的了，用完脸上有面膜布掉下的,精华|很少,1
宝贝质量很好，给全五分好评，服务态度也很棒，给个赞，物流神速，必须，好评,服务态度|神速,0
终于没忍住，买了，味道很好闻，上妆效果很好，值得推荐，如果配点小赠品就更好了,味道|很好闻,1
遮暇效果一般般吧,遮暇效果|一般般,1
很不错的面膜，很喜欢，**优惠活动很给力，客服态度也很好,优惠活动|很给力,1
补水效果不错，物流也很快！一直都用这牌子的东西真的很好用,补水效果|不错,1
味道挺好的速度也快,速度|挺好的,0
还没有用，听人介绍才买的，快递超快的,快递|超快,1
用着舒服，补水效果也不错，价格实惠，以后还会光顾,价格|实惠,1
送货速度很快很快，早上十点下单，下午六点就收到货了。还送的有两片面膜，隔离试了一下很好,送货速度|很快,1
拆开还没用，看起来挺好的，还送了面膜，好用了下次还会买，**快递很赞,快递|很赞,1
物流很快，一直用这个牌子，质量很好是正品，活动买的很划算,物流|很好,0
面膜包装很好，还多送的几片,包装|很好,1
很多精华液，面膜纸是薄透的，期待效果，物流速度很快,精华液|薄透,0
乳液可以，就是物流运输时把瓶盖给弄碎了,瓶盖|碎了,1
一直在使用的品牌物流给力**搞活动时很优惠,活动|给力,0
补水还行。很便宜啊主要是,补水|还行,1
卖家服务态度很好，宝贝很不错，物流也很快,物流|很好,0
物流还不错，小哥服务态度好,小哥服务态度|还不错,0
包装太随便了，连个包装盒都没有，第一感觉很不好,包装|太随便了,1
很好吸收，遮瑕不适合，但是隔离效果，挺好的，保湿度，一般般,隔离效果|不适合,0
颜色偏暗，持久可以,颜色|偏暗,1
一直信赖**，发货和送货速度都很快，快递小哥也很好，以后还是,快递小哥|很快,0
快递点个赞，超级快，质量也是杠杠滴，已经买了两三次了，用起来感觉很不错，棒棒哒,质量|超级快,0
物流很快，一直用这个牌子，质量很好是正品，活动买的很划算,质量|很快,0
**速度快，物美价廉，服务好，值得推荐，还会再来,服务|快,0
物流特别特别给力，卖家服务态度非常好，用的好在光顾,卖家服务态度|非常好,1
很好用，还有淡淡的香味，下次还会来的,香味|淡淡的,1
包装太次。有一袋面膜破了漏水，然后也没有送那个面膜铝盒,包装|太次,1
粉质细，上妆轻薄透亮，紫色提亮肤色不夸张，物美价廉，会回购喜欢，要上加上防就更好了方便一瓶搞定,上妆|细,0
做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还吧,精华液|没什么突出的,0
包装盒很好看，送有两个替换装，粉质很是细腻，略带香味，用着很舒服,包装盒|很好看,1
包装严实，物流快，很期待效果，用过再追评,物流|快,1
很多精华液，面膜纸是薄透的，期待效果,面膜纸|很多,0
一直用的呢，非常好用，遮瑕效果很好，一次性买了两个隔离，一个，大爱,遮瑕效果|很好,1
妆前隔离很好用啊，粉底有香味我不太喜欢有香味的怕熏到对象,隔离|有香味,0
非常满意，客服小海绵的服务也很好，很耐心,服务|很耐心,1
**实测款，薄薄一层满满精华素，用了几天，保湿提亮效果不错,精华素|满满,1
终于没忍住，买了，味道很好闻，上妆效果很好，值得推荐，如果配点小赠品就更好了,上妆效果|很好,1
性价比很高，很好用，每年都要买好多给婆婆给妈妈，双十一价格超级优惠，很满意,价格|超级优惠,1
收到了，贴了两张深海雪润面膜，感觉补水效果还可以,补水效果|还可以,1
快递点个赞，超级快，质量也是杠杠滴，已经买了两三次了，用起来感觉很不错，棒棒哒,快递|杠杠滴,0
一直在用这个牌子的面膜，刚好搞活动就买了，昨晚下的单，今天就到了。快递好，服务好,服务|好,1
快递迅速服务态度好使用效果非常棒，会一直支持的,服务态度|非常棒,0
感谢客服的耐心，物流超快，虽然还没用，相信效果非常好,客服|超快,0
味道清新，用着挺自然的,味道|清新,1
当天付款，当天收到货了快递很给力。用过一次，感觉蛮好的，搞活动买的，便宜了很多,快递|便宜了很多,0
昨晚买了下的单，今天下午就收到货了，物流好快不说，实物跟图片上描述相符，不错！给予好评,物流|好快,1
产品很好，啥赠品都没,赠品|没,1
发货速度挺快的，价格便宜,价格|挺快的,0
商品是正品哦，很补水的哦，**的服务跟物流棒棒哒,服务|棒棒哒,1
帮同事买的洗面奶，老客户了，反馈还是一如既往的好，发货速度快，包装仔细，日期新鲜,发货速度|快,1
搭配水乳一起听水嫩的，真的挺不错，颜色也自然，用完还会回购的,颜色|自然,1
快递速度快，包装好，挺好,快递速度|好,0
帮同事买的洗面奶，老客户了，反馈还是一如既往的好，发货速度快，包装仔细，日期新鲜,包装|新鲜,0
速度好快呀，昨天晚上下的单，今天下午就到了,速度|好快,1
物流很快，包装很严实，没有损坏。活动的时候买的，很划算。第一次买，期待效果,包装|没有损坏,1
***的商品包装的非常好，非常喜欢喜欢，谢谢老板,包装|非常好,1
感觉还可以，洗了脸不会紧绷，去油效果很好，用起来很舒服，泡泡多，味道清香，这个价格很划算,去油效果|很好,1
补水效果特别好！好评！比实体店的价格优惠，物流也快！一直信赖**！还送了一个盒子,补水效果|优惠,0
适合干性皮肤，清洁作用很一般了,清洁作用|很一般,1
**发货超快，包装也挺好的，三八女神节拍的，价格实惠，查了验证码，是正品，下次回购,发货|挺好的,0
个人情况：我是脸比较白的那种，没有感觉到有美白，吸收情况：吸收挺好的，整体描述：淡斑效果没感觉到，已经第三瓶了。，滋润及保湿：保湿还是可以,美白|没有感觉,1
味道淡淡的，水分超足，没有刺激感,味道|超足,0
物流很快，性价比很高，好评！满意的一次购物,物流|很快,1
**快递是蛮快的，就是包装太简便了吧，面膜里的精华都出来了,快递|太简便,0
效果不错哦，而且不伤皮肤，不觉得油腻，卖家服务好，性价比不错哦,卖家服务|不错,0
上妆效果：上妆效果一般咯，持久情况：持久度不错,持久度|一般,0
有一点淡淡的香味，很好用保湿效果不错,保湿效果|淡淡的,0
第一次使用隔离霜感觉美白效果和隔离效果都很不错,隔离效果|很不错,1
帮同事买的洗面奶，老客户了，反馈还是一如既往的好，发货速度快，包装仔细，日期新鲜,日期|新鲜,1
**发货超快，包装也挺好的，三八女神节拍的，价格实惠，查了验证码，是正品，下次回购,价格|挺好的,0
面膜纸很薄，很舒服，水分吸收很快就干了，日常补水面膜使用挺好，很清爽,面膜纸|很快,0
老顾客加回头客了，使用效果吸收很不错哦，可以根据自己的皮肤参考购买噢,吸收|很不错,1
这个价钱真是超级值得，赠品好有分量，很好用，易吸收，推荐,赠品|好有分量,1
用着还不错，泡沫很丰富，洗完不紧绷，很适合,泡沫|很丰富,1
活动价元两盒入手，超级服帖，补水效果很好，很喜欢,补水效果|很好,1
看产品成分选的，面膜也很水不粘稠，价格实惠基础补水护肤很适合，至于修复角质层的效果得等一段时间,价格|很适合,0
面膜纸很薄，很舒服，水分吸收很快就干了，日常补水面膜使用挺好，很清爽,吸收|很薄,0
不错的哦，第一次买，感觉还好，服务态度很好,服务态度|很好,1
量不多，这么一小瓶。遮瑕是假，提亮肤色是真，使用后皮肤稍微干燥。不过物流挺快第二天到货的,提亮肤色|是假,0
效果很好，值得购买。棒棒哒,效果|很好,1
与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,泡沫|及时,0
昨天中午买的今天中午收到了，物流很快哦！第一次买，希望效果好用,物流|很快,1
以前用过又来回购了送货到门非常好,送货|非常好,1
虽然是赠品给的，但是很好用，很滋润保湿，精华也很多,精华|很好用,0
**送货速度真的很快，服务态度也好,服务态度|好,1
挺好的，遮瑕的效果也特别好，特别喜欢，物流也特别快,遮瑕的效果|特别快,0
宝贝补水效果明显，吸收迅速，满足冬季皮肤需求,补水效果|迅速,0
****物流速度快，商品价格优惠,物流速度|快,1
收到宝贝晚上就用一贴，面膜滋润，精华特别多，我是敏感肌肤还不知道会不会过敏，快递小哥态度很好,快递小哥态度|特别多,0
东西收到了很好，下次还来购买，快递小哥直接送货到家,快递小哥|送货到家,1
老婆自己选的，用着效果不错。**送货也快,送货|快,1
包装精美，物流还是一如既往的快，还没用过这个面膜，用过了再来评价,包装|快,0
挺香的，感觉效果不错，泡沫很多,泡沫|不错,0
味道很好闻，清洁能力也不错，我是敏感肌肤，用了没有过敏,清洁能力|很好闻,0
卖家发货很快，活动力度很大，很实惠,发货|很大,0
一直都用这个，第一次在网上买这个，味道闻起来是一样的，希望一样好用,味道|一样,1
一直用这个牌子，特别的好，快递也很快，给商家还有快递小哥一百个赞,商家|一百个赞,1
**快递是蛮快的，就是包装太简便了吧，面膜里的精华都出来了,包装|太简便,1
宝贝收到了，**物流超快，东西很好，值得购买,物流|超快,1
**实测款，薄薄一层满满精华素，用了几天，保湿提亮效果不错,保湿|满满,0
我是混干皮，觉得还不错，遮瑕四星，持久度四星，也挺好上妆的，就是这个色号比我稍微暗一点，我本来就不算白，这个色号有点黑了,持久度|四星,1
一个大大的快递盒，一阵欣喜，以为送了不少赠品，然而并没有，哈哈，下次就换个小盒子好嘛,赠品|大大的,0
物流挺快的哈,物流|挺快的,1
很好用，这款包装比较好携带,包装|比较好携带,1
物流很快，包装完好，心情美美的。活动价买的，多送了一个替换装,包装|完好,1
**就是棒，物流超快。价格相当实惠，没想到有那么大瓶。用的很好。干净,物流|相当实惠,0
这个不知道真假咯，哦，就有一股那个酒精的味道一样的很，酒精的味道比较重,酒精的味道|比较重,1
宝贝质量很好，给全五分好评，服务态度也很棒，给个赞，物流神速，必须，好评,物流|很好,0
温和程度：很好。清洁效果：不错。控油效果：还行。泡沫丰富度：一般。保湿效果：挺可以,控油效果|一般,0
第一次在**买面膜，物流很快，面膜很好用，下次还要再来买,物流|很快,1
礼盒很精美，以为买了很多，其实收到也就一点点，赠品很丰富,礼盒|很丰富,0
物流快，首选,物流|快,1
味道非常好闻，用起来也特别服帖自然，感觉不错，产品价格也很合理,味道|很合理,0
**的物流超快的，隔天就收到了，点个赞。面膜挺好用的，补水效果不错，价格很实惠，棒棒哒,价格|超快,0
宝贝质量很好，给全五分好评，服务态度也很棒，给个赞，物流神速，必须，好评,服务态度|很棒,1
昨天买今天就到了**就是给力啊！我先用裙带藻的精华液很好，效果一般吧,精华液|很好,1
吸收情况：可以,吸收情况|可以,1
宝贝收到了，我要投诉快递员，服务态度不好，还反说我这个人说话不好听,快递员|不好,0
活动买的，补水效果很好，味道好闻,补水效果|好闻,0
发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了,贴合|很好,1
量不多，这么一小瓶。遮瑕是假，提亮肤色是真，使用后皮肤稍微干燥。不过物流挺快第二天到货的,遮瑕|是真,0
帮朋友代拍的哦，产品好不好不知道，不过快递大哥人很好哦，朋友再三嘱咐给快递大哥个好评哈哈,快递大哥|好评,1
很不错，用的护肤品都是***的，面膜精华多,精华|多,1
与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,泡沫|少,1
与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,清洗|少,0
这个面膜很好用，用了一次就感觉补水效果很不错,补水效果|很不错,1
价格便宜活动给力，夏天防晒配卸妆，不错,价格|给力,0
方便快捷不错不错，最近活动不给力啊,活动|不给力,1
第一次买，遮瑕，保湿效果非常好。下次还买,保湿效果|非常好,1
是正品，吸收也特别好一点也不油腻，保湿效果很好，值得购买,保湿效果|特别好,0
颜色挺合适，自然偏白,颜色|挺合适,1
包装完整没有破损卖家服务态度好有问必答，多次购买还会再来,卖家服务态度|好,1
遮暇效果很好，美白效果也不错，就是味道有点太香，如果没有香味就更好了,美白效果|很好,0
不错，遮暇还可以，推荐使用,遮暇|还可以,1
一直在**买东西，相信**的品质，送货很快，服务也很好,服务|很快,0
我是店铺搞活动时买的，还在返利上领了十块钱的券，买一送一，物流超给力，宝贝也好用,物流|好用,1
瓶子很漂亮很喜欢也很好用快递很快态度好,态度|很快,0
快递速度很快，还没用，包装看起来不错,快递速度|很快,1
快递点个赞，超级快，质量也是杠杠滴，已经买了两三次了，用起来感觉很不错，棒棒哒,快递|超级快,1
物流速度特别特别快，卖家态度也不错！重点是代言人好！！！！！！喜欢,物流速度|不错,0
快递很快，很喜欢味道也还好，用完试试看怎么样，好的话继续回购，送了卸妆水，和面膜,快递|很快,1
几百块钱的产品里给我放个近期在里面，还说都是保质期三四年呢客服态度敷衍了事,客服态度|敷衍了事,1
一直信赖***，化妆品面膜都是***，质量很好，价格便宜，发货很快呀,发货|便宜,0
包装高档，好用不卡粉，遮瑕效果不错,包装|不错,0
**，一一如既往的支持你！质量很好且送货速度快,送货速度|快,1
活动买的很合适，用着很不错，店家服务也很好,活动|很好,0
不错是正品，价格有优势，快递也很给力，以后会继续购买,快递|有优势,0
还可以，水份挺足的,水份|挺足的,1
用了感觉还行不错！价格还算实惠，跟实体店差不多,价格|还算实惠,1
一直用这个牌子，效果棒棒哒，还有好多赠品，优秀优秀优秀,赠品|好多,1
第二次购买，物美价廉，效果不错挺好的，配送很快,配送|挺好的,0
感觉上脸有点腻，抹多了会会有点假白，味道也不是很好，防晒力度感觉也还算可以,味道|还算可以,0
发货速度非常快，正品，还会继续回购，给五星好评,发货速度|非常快,1
物流很快，一直用这个牌子，质量很好是正品，活动买的很划算,活动|很快,0
温和程度：很好。清洁效果：不错。控油效果：还行。泡沫丰富度：一般。保湿效果：挺可以,泡沫丰富度|很好,0
超级难用！！！！上妆超级差，。很想退，但是开了封不能退。再也不买了,上妆|超级差,1
还可以吧，不是那么水润，味道有点大，物流挺快的,物流|挺快的,1
宝贝质量不错，客服服务态度也不错。但是物流应该改进，到件几天也不派送，打客服电话也是敷衍了事,客服|敷衍了事,1
用过多次，一直在这家买，气味淡淡的，很滋润,气味|淡淡的,1
物流很快，面膜都收到了，但还没用呢，很期待,物流|很快,1
买一赠一，价廉，值得购买,价|廉,1
面膜可以，只不过客服的服务真让人不敢恭维,服务|不敢恭维,1
物流快当晚就用了一片精华液很多，敷完脸嫩嫩的，不错,精华液|快,0
哇嘿！我早上付的款，下午就到了，速度快,速度|快,1
量不多，这么一小瓶。遮瑕是假，提亮肤色是真，使用后皮肤稍微干燥。不过物流挺快第二天到货的,物流|是假,0
挺好用，效果很好，遮瑕效果不错，湿润,遮瑕效果|不错,1
物流很快，用起来感觉补水效果很明显,物流|很明显,0
这款面膜挺好用的，精华很多，粘稠，而且面膜很服帖，没有气泡现象，挺好,精华|很多,1
面膜刚到很喜欢，包装也非常好，运货速度也非常快非常满意,运货速度|非常好,0
补水效果特别好！好评！比实体店的价格优惠，物流也快！一直信赖**！还送了一个盒子,物流|特别好,0
是正品，包装的很好，很划算，等用完了再来，很满意的一次购物,包装|很好,1
太好用了，味道也很好闻，大爱,味道|很好闻,1
送货快，当天就到了，用着也还不错，有活动买着划算,活动|快,0
性价比比较高，适合学生党,性价比|比较高,1
包装很好，一点都没有破损，物流很快，昨天买的，今天就到了，还会回购,包装|很好,1
活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西,泡沫|很彻底,0
外观好看，收到试用了一下，很滋润，而且有淡淡清香味，很好闻，喜欢的宝宝们赶快下手吧,外观|很好闻,0
客服非常非常满意,客服|非常满意,1
双物流比较快，去年买的刚打开有点淡淡的味道。快用完的时候，味道就不一样了，不是很好闻,味道|比较快,0
还可以吧，淡淡的味道，卸的也干净,味道|淡淡的,1
很好用，买了很多，和我姐一块定的，价格也很便宜，用完了再来这里,价格|很便宜,1
水分多，速度快挺好的,水分|多,1
还不错，隔离效果还可以,隔离效果|还可以,1
快递小个很是给力，手机没有电了，还在那里等我来拿货，**快递就是好，下次还会回购的哦,快递小个|很是给力,1
帮朋友买的价格合算，送货速度很快,价格|合算,1
很多精华液，面膜纸是薄透的，期待效果，物流速度很快,精华液|很快,0
****，物流特别快，纸质不错，刚好遇到活动价，果断下手，有时间再用，到时候再追评,纸质|不错,1
昨天晚上回去用了一下，感觉卸妆很干净，很不错，按压也很方便,卸妆|很干净,1
东西不错，值得购买，物流很快，服务态度很好很好,物流|很好,0
颜色很正，好评,颜色|很正,1
一直都用这个牌子的，现在是新包装，挺好用的,包装|新,1
商品很满意！很喜欢！价格不贵！快递很快,快递|很快,1
